,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
do,6,0.43010752688172044,ordo,5,0.42589437819420783,ecclesiasticvs,5,0.4557885141294439,postmodvm,6,0.46547711404189296,advenio,4,0.43668122270742354,gavdivm,5,0.40716612377850164,diligo/3,6,0.4897959183673469,dvm/2,5,0.4444444444444444,remaneo,6,0.4273504273504274,valeo,5,0.41288191577208916
imperivm,6,0.43010752688172044,pavlatim,5,0.42589437819420783,desidero,5,0.4557885141294439,romanvs/a,5,0.3878975950349108,longe,4,0.43668122270742354,ivbeo,5,0.40716612377850164,observatio,6,0.4897959183673469,qvasi/1,5,0.4444444444444444,egredior,6,0.4273504273504274,accipio,5,0.41288191577208916
praecipio,6,0.43010752688172044,nvnc,4,0.34071550255536626,prior,5,0.4557885141294439,praesvm/1,5,0.3878975950349108,facio,4,0.43668122270742354,servio,5,0.40716612377850164,christvs/n,5,0.40816326530612246,debeo,5,0.4444444444444444,iste,6,0.4273504273504274,dono,5,0.41288191577208916
possessio,6,0.43010752688172044,videlicet,4,0.34071550255536626,discipvlvs,5,0.4557885141294439,nordanhymbri/n,5,0.3878975950349108,perhibeo,4,0.43668122270742354,cvnctvs,5,0.40716612377850164,video,5,0.40816326530612246,transfero,5,0.4444444444444444,consvo,6,0.4273504273504274,aspicio,5,0.41288191577208916
minister/1,6,0.43010752688172044,deniqve,4,0.34071550255536626,deniqve,5,0.4557885141294439,dies,5,0.3878975950349108,talis,4,0.43668122270742354,devotio,5,0.40716612377850164,vita,5,0.40816326530612246,gravis,5,0.4444444444444444,actvs/3,6,0.4273504273504274,coepio,5,0.41288191577208916
kalendae,6,0.43010752688172044,pvlcher,4,0.34071550255536626,fidelis/2,5,0.4557885141294439,habito,5,0.3878975950349108,patria,4,0.43668122270742354,conversatio,5,0.40716612377850164,fidelis/2,5,0.40816326530612246,intvs/2,5,0.4444444444444444,vestis,6,0.4273504273504274,qvin/1,5,0.41288191577208916
faveo,6,0.43010752688172044,aetas,4,0.34071550255536626,sicvt/1,5,0.4557885141294439,ibidem,5,0.3878975950349108,spativm,4,0.43668122270742354,loqvor,5,0.40716612377850164,veritas,5,0.40816326530612246,svpra/2,5,0.4444444444444444,statim,6,0.4273504273504274,religio,5,0.41288191577208916
visito,6,0.43010752688172044,confiteor,4,0.34071550255536626,aeternvs,5,0.4557885141294439,dominicvs,5,0.3878975950349108,rex,3,0.32751091703056767,sepvlcrvm,5,0.40716612377850164,nvllvs,5,0.40816326530612246,postvlo,5,0.4444444444444444,qvaero,6,0.4273504273504274,crvx,5,0.41288191577208916
stvdivm,5,0.35842293906810035,facio,4,0.34071550255536626,animvs,5,0.4557885141294439,monachvs,5,0.3878975950349108,solvs,3,0.32751091703056767,qvisqvam,5,0.40716612377850164,incipio,5,0.40816326530612246,sedeo,5,0.4444444444444444,cresco,6,0.4273504273504274,assensvs,5,0.41288191577208916
tvvs,5,0.35842293906810035,ingredior,4,0.34071550255536626,gloria,5,0.4557885141294439,filia,5,0.3878975950349108,scribo,3,0.32751091703056767,devoveo,5,0.40716612377850164,tantvs,5,0.40816326530612246,sanitas,5,0.4444444444444444,malignvs,6,0.4273504273504274,honor,5,0.41288191577208916
cantvari/n,5,0.35842293906810035,do,4,0.34071550255536626,nihil,5,0.4557885141294439,qvod/1,5,0.3878975950349108,venio,3,0.32751091703056767,avdio,4,0.32573289902280134,virtvs,5,0.40816326530612246,excito/1,5,0.4444444444444444,religiosvs,5,0.3561253561253561,confero,5,0.41288191577208916
memoria,5,0.35842293906810035,aspicio,4,0.34071550255536626,barbarvs/2,5,0.4557885141294439,prior,4,0.3103180760279286,consilivm,3,0.32751091703056767,institvo,4,0.32573289902280134,nolo,5,0.40816326530612246,devenio,5,0.4444444444444444,doceo,5,0.3561253561253561,lvx,5,0.41288191577208916
pontifex,5,0.35842293906810035,magnitvdo,4,0.34071550255536626,maior,5,0.4557885141294439,abba,4,0.3103180760279286,proximvs,3,0.32751091703056767,videlicet,4,0.32573289902280134,oro,5,0.40816326530612246,sollicitvs,4,0.35555555555555557,vsqve,5,0.3561253561253561,ostendo,5,0.41288191577208916
colligo/3,5,0.35842293906810035,gavdivm,4,0.34071550255536626,avditor,4,0.3646308113035551,papa,4,0.3103180760279286,excipio,3,0.32751091703056767,opvs/1,4,0.32573289902280134,via,5,0.40816326530612246,devs,4,0.35555555555555557,habeo,5,0.3561253561253561,malvs/3,5,0.41288191577208916
nobilis/2,5,0.35842293906810035,doctrina,4,0.34071550255536626,religiosvs,4,0.3646308113035551,permitto,4,0.3103180760279286,natio/1,3,0.32751091703056767,episcopvs,4,0.32573289902280134,probo,4,0.326530612244898,pater,4,0.35555555555555557,mevs,5,0.3561253561253561,pecvnia,5,0.41288191577208916
primvs,5,0.35842293906810035,ostendo,4,0.34071550255536626,divinvs/2,4,0.3646308113035551,ago,4,0.3103180760279286,pvlcher,3,0.32751091703056767,nomen,4,0.32573289902280134,videlicet,4,0.326530612244898,condo,4,0.35555555555555557,ivxta/1,5,0.3561253561253561,ecce,5,0.41288191577208916
accipio,5,0.35842293906810035,continvvs,4,0.34071550255536626,exsisto,4,0.3646308113035551,nomen,4,0.3103180760279286,recipio,3,0.32751091703056767,fero,4,0.32573289902280134,pono,4,0.326530612244898,lindissi/n,4,0.35555555555555557,flvmen,5,0.3561253561253561,signvm,5,0.41288191577208916
ivbeo,5,0.35842293906810035,vaco,4,0.34071550255536626,venerabilis,4,0.3646308113035551,qvamvis/1,4,0.3103180760279286,aer,3,0.32751091703056767,contingo/1,4,0.32573289902280134,mevs,4,0.326530612244898,modvs,4,0.35555555555555557,animvs,5,0.3561253561253561,dispono,5,0.41288191577208916
pontificatvs,5,0.35842293906810035,facies,4,0.34071550255536626,percipio,4,0.3646308113035551,ergo/2,4,0.3103180760279286,ferrvm,3,0.32751091703056767,do,4,0.32573289902280134,qvondam,4,0.326530612244898,matvtinvs,4,0.35555555555555557,clarvs,5,0.3561253561253561,praedico/1,5,0.41288191577208916
sacramentvm,5,0.35842293906810035,amplvs,4,0.34071550255536626,episcopvs,4,0.3646308113035551,servo,4,0.3103180760279286,lapis,3,0.32751091703056767,ibidem,4,0.32573289902280134,valeo,4,0.326530612244898,ingredior,4,0.35555555555555557,vaco,5,0.3561253561253561,sedeo,5,0.41288191577208916
constrvo,5,0.35842293906810035,nvmqvam,4,0.34071550255536626,insvla,4,0.3646308113035551,propter/2,4,0.3103180760279286,qvia,3,0.32751091703056767,expleo,4,0.32573289902280134,vter/4,4,0.326530612244898,ergo/2,4,0.35555555555555557,teneo,5,0.3561253561253561,probo,4,0.3303055326176713
corrigo,5,0.35842293906810035,infero,4,0.34071550255536626,siqvis,4,0.3646308113035551,promitto,4,0.3103180760279286,vtpote,3,0.32751091703056767,etenim,4,0.32573289902280134,nimirvm,4,0.326530612244898,coepio,4,0.35555555555555557,placeo,5,0.3561253561253561,avdio,4,0.3303055326176713
cvpio,5,0.35842293906810035,exeo/1,4,0.34071550255536626,mens,4,0.3646308113035551,servio,4,0.3103180760279286,redeo/1,3,0.32751091703056767,laboro,4,0.32573289902280134,fero,4,0.326530612244898,crvx,4,0.35555555555555557,amplvs,5,0.3561253561253561,sedvlvs,4,0.3303055326176713
christvs/n,4,0.2867383512544803,ascendo,4,0.34071550255536626,voco,4,0.3646308113035551,pax,4,0.3103180760279286,hora,3,0.32751091703056767,opera,4,0.32573289902280134,hodie,4,0.326530612244898,homo,4,0.35555555555555557,rapio,5,0.3561253561253561,fides/2,4,0.3303055326176713
gens,4,0.2867383512544803,sanitas,4,0.34071550255536626,soleo,4,0.3646308113035551,alter,4,0.3103180760279286,primvs,3,0.32751091703056767,consecro,4,0.32573289902280134,dvo,4,0.326530612244898,minister/1,4,0.35555555555555557,depono,5,0.3561253561253561,percipio,4,0.3303055326176713
desidero,4,0.2867383512544803,honorificvs,4,0.34071550255536626,vivo,4,0.3646308113035551,perficio,4,0.3103180760279286,finis,3,0.32751091703056767,svccedo/1,4,0.32573289902280134,mitto,4,0.326530612244898,invicem,4,0.35555555555555557,verbvm,4,0.2849002849002849,sacerdos,4,0.3303055326176713
vervs,4,0.2867383512544803,abbatissa,4,0.34071550255536626,dvo,4,0.3646308113035551,prex,4,0.3103180760279286,sedes,3,0.32751091703056767,praecedo/1,4,0.32573289902280134,avfero,4,0.326530612244898,virvs,4,0.35555555555555557,pivs,4,0.2849002849002849,qvalis/1,4,0.3303055326176713
