,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
regina,7,0.4605263157894736,primvs,5,0.14522218995062444,aetas,5,0.19739439399921044,mos,6,0.23166023166023164,svscipio,7,0.4794520547945206,videlicet,4,0.13136288998357964,statim,6,0.2136752136752137,sicvt/1,5,0.44682752457551383,dies,6,0.21398002853067047,apostolicvs,6,0.4983388704318937
primo,7,0.4605263157894736,peto,5,0.14522218995062444,qvia,5,0.19739439399921044,opera,6,0.23166023166023164,sedeo,7,0.4794520547945206,vita,4,0.13136288998357964,malignvs,6,0.2136752136752137,ergo/2,5,0.44682752457551383,etenim,6,0.21398002853067047,converto,6,0.4983388704318937
seqvor,7,0.4605263157894736,dono,5,0.14522218995062444,capvt,5,0.19739439399921044,vaco,6,0.23166023166023164,christvs/n,6,0.410958904109589,nomen,4,0.13136288998357964,lego/2,5,0.17806267806267806,do,5,0.44682752457551383,nvnc,5,0.1783166904422254,gloria,6,0.4983388704318937
pascha,7,0.4605263157894736,dvx,5,0.14522218995062444,assvm/1,5,0.19739439399921044,desidero,5,0.19305019305019305,tempvs/1,6,0.410958904109589,ivxta/1,4,0.13136288998357964,nvnc,5,0.17806267806267806,volo/3,5,0.44682752457551383,venerabilis,5,0.1783166904422254,vrbs,6,0.4983388704318937
exercitvs/1,7,0.4605263157894736,ibidem,5,0.14522218995062444,svpra/2,5,0.19739439399921044,prior,5,0.19305019305019305,solvs,6,0.410958904109589,qvaestio,4,0.13136288998357964,refero,5,0.17806267806267806,dvx,5,0.44682752457551383,accipio,5,0.1783166904422254,postmodvm,6,0.4983388704318937
oswald/n1,7,0.4605263157894736,devotio,5,0.14522218995062444,pavper,5,0.19739439399921044,lego/2,5,0.19305019305019305,verbvm,6,0.410958904109589,adhvc,4,0.13136288998357964,cognosco,5,0.17806267806267806,miracvlvm,5,0.44682752457551383,magnvs,5,0.1783166904422254,prior,5,0.41528239202657813
vervs,6,0.39473684210526316,monachvs,5,0.14522218995062444,div,5,0.19739439399921044,disco,5,0.19305019305019305,disco,6,0.410958904109589,scientia,4,0.13136288998357964,doceo,5,0.17806267806267806,rex,4,0.3574620196604111,familia,5,0.1783166904422254,lego/2,5,0.41528239202657813
devs,6,0.39473684210526316,kalendae,5,0.14522218995062444,ascendo,5,0.19739439399921044,roma/n,5,0.19305019305019305,frater,6,0.410958904109589,propter/2,4,0.13136288998357964,invenio,5,0.17806267806267806,cetervs,4,0.3574620196604111,aeternvs,5,0.1783166904422254,solvs,5,0.41528239202657813
cvro,6,0.39473684210526316,appareo,5,0.14522218995062444,praeparo/2,5,0.19739439399921044,ivxta/1,5,0.19305019305019305,locvs,6,0.410958904109589,dvo,4,0.13136288998357964,ivxta/1,5,0.17806267806267806,ecclesia,4,0.3574620196604111,miracvlvm,5,0.1783166904422254,bonvs,5,0.41528239202657813
omnis,6,0.39473684210526316,disco,4,0.11617775196049956,sano,5,0.19739439399921044,recipio,5,0.19305019305019305,qvidam,6,0.410958904109589,ritvs,4,0.13136288998357964,res,5,0.17806267806267806,video,4,0.3574620196604111,dvco,5,0.1783166904422254,avditor,5,0.41528239202657813
permitto,6,0.39473684210526316,memoria,4,0.11617775196049956,exigo,5,0.19739439399921044,nox,5,0.19305019305019305,valeo,6,0.410958904109589,vester,4,0.13136288998357964,consto,5,0.17806267806267806,alivs,4,0.3574620196604111,exemplvm,5,0.1783166904422254,devs,5,0.41528239202657813
nobilis/2,6,0.39473684210526316,ibi,4,0.11617775196049956,compositvm,5,0.19739439399921044,advenio,5,0.19305019305019305,inqvio,6,0.410958904109589,sermo,4,0.13136288998357964,gavdivm,5,0.17806267806267806,ministerivm,4,0.3574620196604111,rapio,5,0.1783166904422254,simvl/1,5,0.41528239202657813
coepio,6,0.39473684210526316,perfero,4,0.11617775196049956,historia,4,0.15791551519936833,fero,5,0.19305019305019305,talis,6,0.410958904109589,qvomodo/1,4,0.13136288998357964,relinqvo,5,0.17806267806267806,maximvs,4,0.3574620196604111,devoveo,5,0.1783166904422254,diligens,5,0.41528239202657813
dominvs,6,0.39473684210526316,pervenio,4,0.11617775196049956,refero,4,0.15791551519936833,impetro,5,0.19305019305019305,relinqvo,6,0.410958904109589,exspecto,4,0.13136288998357964,conversatio,5,0.17806267806267806,flvvivs,4,0.3574620196604111,nvper,4,0.14265335235378032,regio,5,0.41528239202657813
vocabvlvm,6,0.39473684210526316,recipio,4,0.11617775196049956,dico/2,4,0.15791551519936833,cvmqve,5,0.19305019305019305,cavsa,6,0.410958904109589,svscipio,4,0.13136288998357964,alter,5,0.17806267806267806,fons,4,0.3574620196604111,doceo,4,0.14265335235378032,discipvlvs,5,0.41528239202657813
sacramentvm,6,0.39473684210526316,advenio,4,0.11617775196049956,svpersvm/1,4,0.15791551519936833,ivbeo,5,0.19305019305019305,loqvor,6,0.410958904109589,via,4,0.13136288998357964,aio,5,0.17806267806267806,aqva,4,0.3574620196604111,memoria,4,0.14265335235378032,percipio,5,0.41528239202657813
