,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
video,4,0.4530011325028313,dominvs,4,0.40650406504065045,lvx,5,0.46040515653775327,consvetvdo,4,0.4140786749482402,facio,4,0.41450777202072536,seqvor,4,0.44994375703037126,ecclesia,4,0.41623309053069724,pontifex,4,0.40691759918616477,vmqvam,4,0.45558086560364464,qvondam,4,0.39920159680638717
videlicet,4,0.4530011325028313,gavdivm,4,0.40650406504065045,devoveo,5,0.46040515653775327,capvt,4,0.4140786749482402,intro/1,4,0.41450777202072536,ivvo,4,0.44994375703037126,pater,4,0.41623309053069724,frater,4,0.40691759918616477,recipio,4,0.45558086560364464,valeo,4,0.39920159680638717
praesvm/1,4,0.4530011325028313,donec,4,0.40650406504065045,sedvlvs,4,0.3683241252302026,transfero,4,0.4140786749482402,peto,4,0.41450777202072536,prex,4,0.44994375703037126,nomen,4,0.41623309053069724,mevs,4,0.40691759918616477,dvx,4,0.45558086560364464,soleo,4,0.39920159680638717
percipio,4,0.4530011325028313,assvm/1,4,0.40650406504065045,cvro,4,0.3683241252302026,gero,4,0.4140786749482402,habito,4,0.41450777202072536,qvaero,4,0.44994375703037126,dies,4,0.41623309053069724,svpernvs,4,0.40691759918616477,ordino,4,0.45558086560364464,nimirvm,4,0.39920159680638717
deniqve,4,0.4530011325028313,miracvlvm,4,0.40650406504065045,institvo,4,0.3683241252302026,profero,4,0.4140786749482402,ivbeo,4,0.41450777202072536,christvs/n,3,0.3374578177727784,incipio,4,0.41623309053069724,civitas,4,0.40691759918616477,seqvor,4,0.45558086560364464,lingva,4,0.39920159680638717
sancio,4,0.4530011325028313,amo,4,0.40650406504065045,invenio,4,0.3683241252302026,parvvs/2,4,0.4140786749482402,praedico/3,4,0.41450777202072536,cetervs,3,0.3374578177727784,contingo/1,4,0.41623309053069724,recipio,4,0.40691759918616477,pavper,4,0.45558086560364464,hodie,4,0.39920159680638717
libellvs,4,0.4530011325028313,loqvor,4,0.40650406504065045,percipio,4,0.3683241252302026,gavdeo,4,0.4140786749482402,avfero,4,0.41450777202072536,disco,3,0.3374578177727784,ergo/2,4,0.41623309053069724,facio,4,0.40691759918616477,prior,3,0.3416856492027335,ivbeo,4,0.39920159680638717
peto,4,0.4530011325028313,timeo,4,0.40650406504065045,vita,4,0.3683241252302026,praecedo/1,4,0.4140786749482402,mos,4,0.41450777202072536,abba,3,0.3374578177727784,egredior,4,0.41623309053069724,primvs,4,0.40691759918616477,sanctvs,3,0.3416856492027335,domvs,4,0.39920159680638717
coepio,4,0.4530011325028313,perdvco,4,0.40650406504065045,mvltvs,4,0.3683241252302026,diligo/3,4,0.4140786749482402,cvnctvs,4,0.41450777202072536,vox,3,0.3374578177727784,donec,4,0.41623309053069724,magnvs,4,0.40691759918616477,qvoqve,3,0.3416856492027335,praedico/3,4,0.39920159680638717
baptizo,4,0.4530011325028313,aio,4,0.40650406504065045,civitas,4,0.3683241252302026,historia,3,0.3105590062111801,pax,4,0.41450777202072536,postea,3,0.3374578177727784,ibidem,4,0.41623309053069724,propter/2,4,0.40691759918616477,scribo,3,0.3416856492027335,servio,4,0.39920159680638717
devotio,4,0.4530011325028313,narro,4,0.40650406504065045,nvllvs,4,0.3683241252302026,gens,3,0.3105590062111801,teneo,4,0.41450777202072536,consilivm,3,0.3374578177727784,relinqvo,4,0.41623309053069724,regivs,4,0.40691759918616477,romanvs/a,3,0.3416856492027335,seqvor,4,0.39920159680638717
cavsa,4,0.4530011325028313,nvmqvam,4,0.40650406504065045,nox,4,0.3683241252302026,nvper,3,0.3105590062111801,sanctvs,3,0.31088082901554404,pater,3,0.3374578177727784,hvc,4,0.41623309053069724,gradvs,4,0.40691759918616477,pervenio,3,0.3416856492027335,lectio,4,0.39920159680638717
ivdicivm,4,0.4530011325028313,cresco,4,0.40650406504065045,inqvio,4,0.3683241252302026,prior,3,0.3105590062111801,bonvs,3,0.31088082901554404,exinde,3,0.3374578177727784,baptizo,4,0.41623309053069724,transeo/1,4,0.40691759918616477,nobilis/2,3,0.3416856492027335,svscipio,4,0.39920159680638717
presbyter,3,0.33975084937712347,devenio,4,0.40650406504065045,do,4,0.3683241252302026,sedvlvs,3,0.3105590062111801,dignvs,3,0.31088082901554404,scio,3,0.3374578177727784,profero,4,0.41623309053069724,mors,4,0.40691759918616477,finis,3,0.3416856492027335,praebeo,4,0.39920159680638717
desidero,3,0.33975084937712347,cvpio,4,0.40650406504065045,spativm,4,0.3683241252302026,cetervs,3,0.3105590062111801,simvl/1,3,0.31088082901554404,habeo,3,0.3374578177727784,cogito,4,0.41623309053069724,continvvs,4,0.40691759918616477,sedes,3,0.3416856492027335,confestim,4,0.39920159680638717
nosco,3,0.33975084937712347,vervs,3,0.3048780487804878,vocabvlvm,4,0.3683241252302026,venerabilis,3,0.3105590062111801,pervenio,3,0.31088082901554404,vnde/1,3,0.3374578177727784,creber,4,0.41623309053069724,via,4,0.40691759918616477,consentio,3,0.3416856492027335,ascendo,4,0.39920159680638717
bonvs,3,0.33975084937712347,religiosvs,3,0.3048780487804878,relinqvo,4,0.3683241252302026,videlicet,3,0.3105590062111801,vita,3,0.31088082901554404,terra,3,0.3374578177727784,vaco,4,0.41623309053069724,monachvs,4,0.40691759918616477,hactenvs,3,0.3416856492027335,sanitas,4,0.39920159680638717
memoria,3,0.33975084937712347,videlicet,3,0.3048780487804878,ieivnivm,4,0.3683241252302026,roma/n,3,0.3105590062111801,antistes,3,0.31088082901554404,modvs,3,0.3374578177727784,reddo,4,0.41623309053069724,revoco,4,0.40691759918616477,tantvs,3,0.3416856492027335,visito,4,0.39920159680638717
vox,3,0.33975084937712347,reverto,3,0.3048780487804878,morior,4,0.3683241252302026,romanvs/a,3,0.3105590062111801,excipio,3,0.31088082901554404,primvs,3,0.3374578177727784,exspecto,4,0.41623309053069724,postmodvm,4,0.40691759918616477,virtvs,3,0.3416856492027335,nvper,3,0.29940119760479045
vsqve,3,0.33975084937712347,colligo/3,3,0.3048780487804878,gradvs,4,0.3683241252302026,praesens,3,0.3105590062111801,locvs,3,0.31088082901554404,do,3,0.3374578177727784,svscipio,4,0.41623309053069724,disciplina,4,0.40691759918616477,baptizo,3,0.3416856492027335,simvl/1,3,0.29940119760479045
